slug,name,descriptor
alex-hormozi,Alex Hormozi,"muscular tanned man mid-to-late 30s with a thick robust build, long shoulder-length wavy dark-brown hair, full dense dark-brown beard and mustache connecting around the mouth and jaw, wide energetic toothy smile with crinkles around the eyes, wearing a dark navy baseball cap, a dark charcoal-and-black checker flannel shirt worn open over a plain white crew-neck t-shirt, arms crossed firmly over chest, confident approachable posture"
alex-lieberman,Alex Lieberman,"man in his early-to-mid 30s with olive skin and a lean athletic build, short neatly cropped dark-brown hair combed slightly forward, light even stubble along the jaw and chin, a bright warm open smile showing upper teeth, friendly relaxed eyes, wearing a short-sleeved light-blue and white gingham checkerboard button-down with the top buttons open, turned at a three-quarter angle, plain gray studio backdrop"
andrew-wilkinson,Andrew Wilkinson,"man in his late 30s to early 40s with fair pale skin and a lean build, light brown to strawberry-blonde hair styled in a voluminous swept-back quiff, very faint blonde stubble, subtle knowing close-mouthed smile with a soft direct gaze, wearing a minimalist light-gray heathered cotton crew-neck sweatshirt, close-up framing from the collarbone up, dark near-black textured studio backdrop"
austin-rief,Austin Rief,"man in his late 20s to early 30s with fair skin and an athletic build, short slightly wavy dark-brown hair with a casual side parting, short dark stubble across the jaw and upper lip, calm pleasant close-mouthed smile with warm relaxed eye contact, wearing a plain dark slate-gray cotton crew-neck t-shirt, centered headshot framed from the chest up, white-painted brick wall backdrop"
balaji-srinivasan,Balaji Srinivasan,"South Asian man in his mid-to-late 40s with medium-brown skin and an average build, very short cropped dark buzz-cut hair, close-cropped dark stubble, focused serious mid-conversation expression with mouth slightly open as if speaking, gaze directed off-camera to his left, wearing a structured dark navy blazer over a black t-shirt with a bold white square emblem on the chest, beige over-ear microphone wire behind one ear, seated on a dark leather chair with left hand raised in a dynamic gesture"
ben-horowitz,Ben Horowitz,"man in his late 50s to early 60s with fair skin and an average build, completely bald shaved head, clean-shaven face, animated mid-speech expression with mouth open, expressive engaged eyebrows, wearing a vibrant burnt-orange v-neck sweater over a light-blue and white micro-checkered dress shirt with the collar unbuttoned showing a white undershirt, flesh-colored over-ear headset microphone near one cheek, seated on a cream-colored chair with both arms forward and hands open in an active explanatory gesture"
bill-gurley,Bill Gurley,"tall man in his late 50s to early 60s with fair skin and a large frame, short salt-and-pepper hair graying at the temples styled casually to the side, clean-shaven face, concentrated intense mid-speech expression with mouth slightly open and eyes looking upward, wearing a tailored black blazer over a deep plum-purple dress shirt with top buttons open and a white undershirt peeking out, small black lapel mic clipped to the shirt placket, dynamic posture with right arm raised high and hand flat palm-down as if indicating a height, dark blue backdrop"
cathie-wood,Cathie Wood,"woman in her late 60s with fair skin and a slender build, shoulder-length straight brown hair with subtle graying parted to her left, confident warm smile showing upper teeth, steady direct gaze, thick dark tortoiseshell square-framed glasses, structured dark navy tailored blazer over a simple white scoop-neck top, gold hoop earrings, a gold ring on the left hand, a dark square-faced smartwatch on the left wrist, arms crossed confidently over the midsection, smooth solid dark-gray studio background"
codie-sanchez,Codie Sanchez,"woman in her early-to-mid 30s with light olive skin and a lean athletic build, long voluminous wavy dark-blonde to light-brown hair with sun-kissed highlights parted in the middle, soft subtle closed-mouth smile, confident poised direct eye contact, wearing a sleek black sleeveless top with a high halter neckline, framed from the chest up against a brightly lit deeply blurred background of vibrant green outdoor foliage"
demis-hassabis,Demis Hassabis,"man in his mid-to-late 40s with light olive skin and an average build, bald clean-shaven head, short neat salt-and-pepper beard and mustache connecting around the mouth and jawline, gentle calm pleasant closed-mouth smile, relaxed intelligent gaze, blue-rimmed rectangular eyeglasses, dark navy suit jacket with a small gold circular lapel pin on the left side, crisp white dress shirt and solid blue necktie, standard professional headshot facing the camera, soft light-gray neutral background"
dharmesh-shah,Dharmesh Shah,"man in his 50s of South Asian descent with medium-brown skin and an average build, short salt-and-pepper hair combed forward with a casual texture, full neatly trimmed gray and white beard and mustache, kind genuine warm closed-mouth smile with slightly crinkled eyes, dark navy collared zip-up utility jacket over a light-gray t-shirt, brown leather watch on the left wrist, framed from the chest up arms crossed casually at a slight angle, bright warm blurred background"
elan-lee,Elan Lee,"man in his late 30s to 40s with tanned olive skin and a lean build, very short receding dark hair, light natural 5 o'clock shadow stubble across the jaw and chin, subtle relaxed half-smile, calm unassuming gaze at the camera, minimalist fitted black crew-neck t-shirt, standing with body turned slightly to his right but head facing the camera, hard lighting casting a strong sharp black shadow of his head and shoulder on a plain white wall behind him"
gary-vaynerchuk,Gary Vaynerchuk,"man in his mid-to-late 40s with fair olive skin and an average build, short textured dark-brown hair styled slightly upward and forward at the front, patchy scruff and stubble along the chin and jaw, wide highly animated joyful open-mouthed smile showing teeth, looking off-camera to his right as if actively engaged in conversation, dark blue short-sleeved polo shirt with the top button unfastened, silver wedding band on the left ring finger, seated dynamically with hands lightly curled into loose fists near the chest, cluttered office shelves background with books, a sports cap, and various memorabilia"
greg-isenberg,Greg Isenberg,"man in his 30s with fair skin and a lean build, thick distinctly messy tousled dark-brown hair sticking up with natural volume, full short dark-brown beard and mustache, neutral slightly resting expression with a very subtle hint of a closed-mouth smile, direct relaxed eye contact, clear translucent round-framed eyeglasses, light-gray to off-white long-sleeved t-shirt, close-up selfie-style headshot facing the camera head-on, brightly lit slightly out-of-focus room background with an angled ceiling"
jesse-cole,Jesse Cole,"man in his late 30s to 40s with fair skin and a lean build, hair mostly obscured by his hat, clean-shaven face, highly energetic beaming enthusiastic wide smile showing upper and lower teeth, wide excited eyes, wearing a vibrant solid canary-yellow bowler hat with a white hatband and a matching bright yellow suit jacket over a yellow collared shirt, head and shoulders shot facing the camera straight on, bright blurred outdoor background featuring trees and a pale fence or wall"
jesse-itzler,Jesse Itzler,"man in his 50s with tanned skin and a lean build, wavy unruly salt-and-pepper hair poking out from the sides of his hat, light patchy stubble, exaggerated goofy wide closed-mouth grin slightly showing teeth, deeply crinkled highly expressive eyes and raised eyebrows, wearing a white and blue vintage-style baseball cap with a stylized red, white, and blue lowercase letter on the front, plain light-blue and white crew-neck t-shirt, thin silver chain visible around the neck, leaning forward intensely toward the camera with head tilted slightly, vibrant solid coral and red-orange studio background"
morgan-housel,Morgan Housel,"man in his late 30s to early 40s with fair skin and an average build, short neat light-brown hair with a receding hairline neatly parted and combed to the side, clean-shaven face, warm polite professional smile showing upper teeth, calm steady gaze into the camera, dark subtly textured or micro-plaid suit blazer, crisp white button-down dress shirt with the top button left open and no tie, standard professional portrait framed from the chest up positioned slightly off-center, muted soft-focus light gray-beige background"
naval-ravikant,Naval Ravikant,"man in his late 40s to 50s of South Asian descent with medium-brown skin and an average build, short curly thinning predominantly gray salt-and-pepper hair, light natural shadow of stubble across the cheeks chin and upper lip, soft warm closed-mouth smile, relaxed calm approachable gaze directed slightly off-center, light-blue or heather-gray casual V-neck t-shirt, head and shoulders shot angled very slightly to his right but looking forward, light gray-to-white gradient background"
nick-huber,Nick Huber,"man in his early-to-mid 30s with fair skin and a lean build, short neat brown hair naturally parted to the side, clean-shaven face, serious completely neutral expression with a firm straight mouth, intense direct focused eye contact, dark charcoal-gray short-sleeved polo shirt with slightly textured fabric and the top button unfastened revealing a white undershirt at the collar, centered framed from the chest up leaning slightly forward, plain flat gray wall background"
noah-kagan,Noah Kagan,"man in his late 30s to early 40s with tanned skin and an athletic muscular build with prominent biceps and forearms, completely shaved bald head, full neatly trimmed dark-brown to black beard and mustache, bright wide highly energetic smile showing a full row of upper teeth, friendly enthusiastic eyes, vibrant teal dark-cyan crew-neck t-shirt with a large stylized black graphic emblem on the chest, small metallic hoop earrings in both earlobes, standing straight with arms crossed tightly over the chest, clean bright white studio background"
palmer-luckey,Palmer Luckey,"man in his early 30s with fair skin and an average sturdy build, medium-length wavy dark-brown hair swept back away from the face with extra length at the nape of the neck, distinct pointed dark-brown goatee on the chin with a clean-shaven upper lip and cheeks, broad slightly goofy open-toothed smile, eyes crinkled with amusement, loud vibrant short-sleeved button-down shirt featuring a bold tropical floral pattern in shades of purple, blue, and white, framed from the chest up facing the camera dead-on, pure white background"
pat-walls,Pat Walls,"man in his late 20s to early 30s with fair skin and slight natural ruddiness on the cheeks and an average build, short dark-brown hair styled upward and slightly swept to his left, light even stubble covering the jawline chin and mustache area, broad genuine relaxed smile showing upper teeth, clear bright blue-green eyes looking directly at the lens, dark navy or black zip-up hoodie worn over a green crew-neck t-shirt, tight centered headshot, solid pale lavender to light-gray background"
rob-dyrdek,Rob Dyrdek,"man in his 30s with fair skin and a lean build, hair mostly obscured by his hat, very light pale blonde-brown stubble outlining the jaw and chin, neutral stoic slightly guarded expression with a closed mouth, confident gaze looking slightly downward toward the camera, structured red, white, and black trucker-style baseball cap with a raised red emblem on the front white panel, plain solid red crew-neck t-shirt, head tilted slightly back with chin raised captured from the chest up, flat medium-gray background"
robert-greene,Robert Greene,"man in his 60s with fair skin and a lean build, thinning messy light-brown and grayish hair sticking out casually at the sides and top, clean-shaven face, subtle knowing tight closed-mouth smile, highly observant calm eye contact, thick round black-and-tortoiseshell rimmed eyeglasses, button-down shirt with a tight tartan plaid pattern in shades of green, blue, and black, standard head-and-shoulders portrait facing directly forward, stark brightly lit white background"
sahil-bloom,Sahil Bloom,"man in his early 30s with olive tanned skin and a highly athletic chiseled build with a strong jawline, dark-brown to black hair styled with a deep side part and high volume on top featuring a tight fade on the sides, heavy perfectly groomed short beard outlining the facial structure, confident very subtle closed-mouth smirk, intense piercing eye contact under strong brow lighting, minimalist fitted black crew-neck t-shirt, centered dramatic headshot facing forward with low-key moody lighting, completely black background"
scott-galloway,Scott Galloway,"man in his late 50s to 60s with fair skin and a lean build, completely shaved bald head, neat short salt-and-pepper gray beard and mustache, serious contemplative authoritative neutral expression with a relaxed mouth, rectangular dark-rimmed eyeglasses, dark navy or black short-sleeved polo shirt, framed from the chest up looking directly into the lens, dark heavily blurred interior background"
sheel-mohnot,Sheel Mohnot,"man in his late 30s to 40s of South Asian descent with medium-brown skin and an average build, short dark hair, thick full textured salt-and-pepper black and gray beard and mustache, extremely joyful wide open-mouthed smile showing a full row of teeth, eyes crinkled heavily with genuine laughter, round thin-rimmed dark brown or black eyeglasses, white button-down shirt with a very subtle sparse micro-dot pattern, tight vibrant headshot facing directly forward, warm solid peach to coral colored background"
thomas-tull,Thomas Tull,"man in his late 40s to 50s with fair skin and a robust sturdy build, short light-brown hair with a slightly receding hairline, short highly textured salt-and-pepper gray and brown beard and mustache, serious intense stoic neutral expression with a piercing direct gaze into the camera, tan or khaki heavy winter jacket featuring a dark-brown textured corduroy collar and metallic snap buttons, plain dark navy or black crew-neck t-shirt underneath, framed from the chest up outdoors against a dark background of evergreen pine tree branches"
