slug,name,descriptor
sam-parr,Sam Parr,mid 30s founder, light beard, casual confident grin, blue button-up shirt, founder energy, holding a newsletter
shaan-puri,Shaan Puri,mid 30s south asian podcaster, dark hair, casual zip hoodie or t-shirt, animated thoughtful expression
dharmesh-shah,Dharmesh Shah,late 50s south asian tech founder, glasses, neat dark hair, professional but warm smile, dark sweater
jesse-itzler,Jesse Itzler,fit man early 50s, short brown hair, athletic gray shirt, big enthusiastic smile
andrew-wilkinson,Andrew Wilkinson,30s tech investor, short brown hair, glasses, casual gray sweater, calm thoughtful expression
elan-lee,Elan Lee,late 40s game designer asian american, short dark hair, casual button-up shirt, playful smirk
greg-isenberg,Greg Isenberg,30s media founder, short brown hair, blue casual shirt, sharp focused expression
alex-lieberman,Alex Lieberman,30s media founder, short brown hair, navy blazer over t-shirt, confident smile
austin-rief,Austin Rief,30s media founder, short brown hair, casual button-up, friendly expression
jesse-cole,Jesse Cole,40s sports entrepreneur, yellow tuxedo jacket, top hat, theatrical grin
noah-kagan,Noah Kagan,40s indie founder, beard, casual t-shirt or hawaiian shirt, warm energetic smile
alex-hormozi,Alex Hormozi,muscular man early 30s, shaved head, beard, dark t-shirt, intense confident expression
codie-sanchez,Codie Sanchez,30s female latina investor, long dark hair, smart casual blazer, sharp confident smile
nick-huber,Nick Huber,30s self-storage entrepreneur, short brown hair, casual outdoor jacket, no-nonsense expression
naval-ravikant,Naval Ravikant,50s south asian tech philosopher, short dark hair with gray, casual shirt, calm wise expression
tim-ferriss,Tim Ferriss,50s author and podcaster, short brown hair, casual collared shirt, thoughtful smile
sahil-bloom,Sahil Bloom,30s south asian writer, short dark hair, navy button-up, friendly confident smile
gary-vaynerchuk,Gary Vaynerchuk,late 40s entrepreneur, short hair with gray sides, casual jets jersey or t-shirt, energetic smile
ben-horowitz,Ben Horowitz,50s venture capitalist, short hair, glasses, casual sweater, thoughtful intense expression
palmer-luckey,Palmer Luckey,early 30s tech founder, casual hawaiian shirt, sandals vibe, distinctive long brown hair, confident smirk
balaji-srinivasan,Balaji Srinivasan,40s south asian tech investor, short dark hair, casual shirt, intense intellectual expression
robert-greene,Robert Greene,distinguished author mid 60s, short gray hair, dark sweater, intense thoughtful gaze
morgan-housel,Morgan Housel,40s financial writer, short hair, glasses, casual sweater, thoughtful gentle smile
pieter-levels,Pieter Levels,late 30s nomad indie hacker, dutch, short blond hair, casual t-shirt, laptop nearby, calm smile
tommy-mello,Tommy Mello,40s home services entrepreneur, short hair, polo shirt, broad confident smile
jesse-pujji,Jesse Pujji,40s south asian operator, short dark hair, casual button-up, sharp focused expression
rob-dyrdek,Rob Dyrdek,early 50s entrepreneur, short brown hair, casual t-shirt, big enthusiastic smile
brett-adcock,Brett Adcock,30s tech founder, short brown hair, casual collared shirt, intense determined expression
steph-smith,Steph Smith,30s tech writer/podcaster, long brown hair, casual smart blouse, friendly confident smile
nik-sharma,Nik Sharma,30s ecommerce marketer, short dark hair, casual button-up, energetic smile
justin-kan,Justin Kan,30s tech founder asian american, short dark hair, casual hoodie or t-shirt, thoughtful calm expression
ryan-petersen,Ryan Petersen,40s logistics founder, short brown hair, casual blazer over t-shirt, focused confident expression
peter-rahal,Peter Rahal,30s CPG founder, short brown hair, casual button-up, warm confident smile
nick-gray,Nick Gray,30s networking entrepreneur, glasses, casual button-up shirt, friendly approachable smile
thomas-tull,Thomas Tull,50s media mogul, short gray hair, dark blazer, sharp serious expression
george-mack,George Mack,30s british writer, short brown hair, casual blue shirt, sharp witty expression
demis-hassabis,Demis Hassabis,DeepMind CEO in his late 40s, short dark hair, navy suit jacket, intellectual calm expression
